"","shape_id","Positive","Negative"
"1210",122518,29.31,-29.31
"1211",122519,14.85,-14.85
"1212",122520,34.12,-34.12
"1213",122521,10.31,-5.63
"1214",122522,14.85,-14.85
"1215",122523,16.38,-16.38
"1216",122524,13.12,-9.77
"1217",122525,13.12,-13.12
"1218",122526,21.83,-34.31
"1219",122527,40.45,-39.38
"1220",122528,31.48,-31.48
"1221",122529,25.2,-22.23
"1222",122530,22.61,-23.57
"1223",122532,7.37,-7.57
"1224",122533,2.41,-2.41
"1225",122534,4.44,-5.73
"1226",122535,239.28,-239.11
"1227",122536,228.45,-228.45
"1228",122537,224.41,-223.71
"1229",122538,230.41,-228.83
"1230",122539,220.81,-220.81
"1231",122541,68.39,-54.78
"1232",122542,68.17,-68.39
"1233",122543,50.89,-64.28
"1234",122544,59.8,-57.23
"1235",122545,53.71,-58.73
"1236",122546,63.58,-60.83
"1237",122547,67.58,-47.58
"1238",122548,46.68,-48.62
"1239",122549,46.98,-45.63
"1240",122550,28.67,-48.08
"1241",122551,49.09,-51.84
"1242",122552,70.58,-67.83
"1243",122553,69.1,-71.85
"1244",122554,55.55,-52.61
"1245",122555,119.2,-106.08
"1246",122556,109.66,-109.66
"1247",122557,69.2,-82.32
"1248",122558,58.05,-58.05
"1249",122559,18.89,-19.08
"1250",122560,79.1,-79.1
"1251",122561,67.95,-67.95
"1252",122562,18.18,-22.27
"1253",122563,15.37,-15.37
"1254",122564,25.37,-26.12
"1255",122565,62.04,-54.04
"1256",122566,18.35,-25.04
"1257",122567,16.65,-16.65
"1258",122568,21.84,-18.31
"1259",122569,38.62,-38.62
"1260",122570,16.56,-16.56
"1261",122571,44.38,-41.22
"1262",122572,36.81,-36.81
"1263",122573,15.88,-19.27
"1264",122574,17.01,-21.7
"1265",122575,13.12,-8.21
"1266",122576,29.64,-29.64
"1267",122577,28.02,-31.61
"1268",122578,96.31,-86.8
"1269",122579,35.8,-45.31
"1270",122580,69.6,-66.15
"1271",122581,9.17,-11.77
"1272",122582,45.9,-43.38
"1273",122583,195.59,-102.04
"1274",122584,156.26,-160.86
"1275",122585,171.1,-166.5
"1276",122586,94.54,-143.45
"1277",122587,135.31,-182.47
