"","trip_id","distance","end","start","trip_duration"
"108","1096829",10.0011526563,"10:08:00","9:30:00",2280
"109","1096830",10.0011526563,"8:38:00","8:00:00",2280
"110","1096831",9.6319961452,"6:27:00","5:50:00",2220
"111","1096832",9.6319961452,"24:22:00","23:45:00",2220
"112","1096833",9.6319961452,"22:52:00","22:15:00",2220
"113","1096834",9.6319961452,"21:22:00","20:45:00",2220
"114","1096835",9.6319961452,"19:52:00","19:15:00",2220
"115","1096836",9.6319961452,"18:22:00","17:45:00",2220
"116","1096837",9.6319961452,"15:22:00","14:45:00",2220
"117","1096838",9.6319961452,"16:52:00","16:15:00",2220
"118","1096839",9.6319961452,"13:52:00","13:15:00",2220
"119","1096840",9.6319961452,"12:22:00","11:45:00",2220
"120","1096841",9.6319961452,"10:52:00","10:15:00",2220
"121","1096842",9.6319961452,"9:22:00","8:45:00",2220
"122","1096843",9.6319961452,"7:52:00","7:15:00",2220
"123","1096844",10.0011526563,"20:38:00","20:00:00",2280
"124","1096845",10.0011526563,"19:08:00","18:30:00",2280
"125","1096846",10.0011526563,"14:38:00","14:00:00",2280
"126","1096847",10.0011526563,"17:38:00","17:00:00",2280
"127","1096848",10.0011526563,"16:08:00","15:30:00",2280
"128","1096849",10.0011526563,"13:08:00","12:30:00",2280
"129","1096850",10.0011526563,"11:38:00","11:00:00",2280
"130","1096851",10.0011526563,"10:08:00","9:30:00",2280
"131","1096852",10.0011526563,"8:38:00","8:00:00",2280
"132","1096853",9.6319961452,"19:52:00","19:15:00",2220
"133","1096854",9.6319961452,"18:22:00","17:45:00",2220
"134","1096855",9.6319961452,"15:22:00","14:45:00",2220
"135","1096856",9.6319961452,"16:52:00","16:15:00",2220
"136","1096857",9.6319961452,"13:52:00","13:15:00",2220
"137","1096858",9.6319961452,"12:22:00","11:45:00",2220
"138","1096859",9.6319961452,"10:52:00","10:15:00",2220
"139","1096860",9.6319961452,"9:22:00","8:45:00",2220
"140","1096861",9.6319961452,"7:52:00","7:15:00",2220
"141","1096862",10.0011526563,"5:38:00","5:00:00",2280
