service_id,date,exception_type
1,20191128,2
10,20191128,2
10,20191225,2
10,20200101,2
13,20191128,1
13,20191225,1
13,20200101,1
14,20190101,2
14,20190407,2
14,20190527,2
14,20191121,2
14,20191225,2
14,20200125,2
17,20190101,1
17,20190407,1
17,20190527,1
17,20191121,1
17,20191225,1
17,20200125,1
22,20191128,2
22,20191225,2
22,20200101,2
25,20191128,1
25,20191225,1
25,20200101,1
4,20191128,1
6,20191128,2
9,20191128,1
