fips,pollutant,year,pred_wght,state_abbr,lat,lon
090091708004,co,2015,0.23889184,CT,41.52474,-72.8211016774193
090010101011,co,2015,0.253978914600551,CT,41.0487046831956,-73.6778374655647
090010101012,co,2015,0.260484463087248,CT,41.0409636241611,-73.6695506040268
090010101013,co,2015,0.247393082828283,CT,41.0824185185185,-73.6701385858586
090010101014,co,2015,0.243196780263158,CT,41.0812463815789,-73.6965338815789
090010101021,co,2015,0.247351598793363,CT,41.0921384615385,-73.6118297134238
090010101022,co,2015,0.251398723225806,CT,41.0849351612903,-73.6414851612903
090010101023,co,2015,0.237374895460798,CT,41.1178964236589,-73.6461040577717
090010102011,co,2015,0.253065996244131,CT,41.0628404694836,-73.6370441314554
090010102012,co,2015,0.259462416666667,CT,41.0578637310606,-73.6103444128788
090010102013,co,2015,0.257675864615385,CT,41.0609791538462,-73.6220956153846
090010102021,co,2015,0.246725080446927,CT,41.0790344134078,-73.5924929608938
090010102022,co,2015,0.257802523333333,CT,41.051874875,-73.5918681666667
090010102023,co,2015,0.254935634181818,CT,41.0634461090909,-73.5806653818182
090010102024,co,2015,0.251209933236575,CT,41.0569814223512,-73.599968359942
090010103001,co,2015,0.259995057991513,CT,41.0434224893918,-73.6209015558699
090010103002,co,2015,0.266814008394544,CT,41.039662749213,-73.629593389297
090010103003,co,2015,0.266088029007634,CT,41.041873740458,-73.6378267175572
090010103004,co,2015,0.25958797195122,CT,41.0361262195122,-73.6441651219512
090010103005,co,2015,0.254829844571429,CT,41.0291379428571,-73.6487065142857
090010104001,co,2015,0.263798212314225,CT,41.0313048832272,-73.6671021231423
090010104002,co,2015,0.248521046968403,CT,41.0306935952178,-73.659880529462
090010104003,co,2015,0.269262866666667,CT,41.0222231050228,-73.6607825570776
090010104004,co,2015,0.279442043766578,CT,41.0184149867374,-73.6559425729443
090010104005,co,2015,0.27318819887165,CT,41.0205709449929,-73.6523228490832
090010104006,co,2015,0.283530933764136,CT,41.0169137318255,-73.6523914378029
090010105001,co,2015,0.305430115963855,CT,41.0238406626506,-73.6317262048193
090010105002,co,2015,0.300496032994924,CT,41.0223837563452,-73.6360991116751
090010105003,co,2015,0.299937564343164,CT,41.0174872654156,-73.6382060321716
090010105004,co,2015,0.30066381495098,CT,41.0188727941176,-73.641150245098
090010105005,co,2015,0.285747177380952,CT,41.0140342857143,-73.6434089285714
090010105006,co,2015,0.286422774390244,CT,41.0105832317073,-73.6509645731707
090010106001,co,2015,0.303441265780731,CT,41.0298813953488,-73.6237566445183
090010106002,co,2015,0.316660220812183,CT,41.0241327411168,-73.6261253807107
090010106003,co,2015,0.310943332155477,CT,41.0309330977621,-73.6280657243816
090010107001,co,2015,0.260164880418535,CT,41.0312257100149,-73.6114158445441
090010107002,co,2015,0.295159502392345,CT,41.0260303349282,-73.6209401913876
090010107003,co,2015,0.270509731866341,CT,41.0267677261614,-73.6173707416463
090010107004,co,2015,0.272398423197492,CT,41.033939184953,-73.6194623824451
090010108001,co,2015,0.298723607462687,CT,41.0404025373134,-73.5934414925373
090010108002,co,2015,0.277966245349867,CT,41.034384853853,-73.6007842338353
090010108003,co,2015,0.26640984321608,CT,41.0421118592965,-73.6034527638191
090010108004,co,2015,0.275457252525253,CT,41.0422641414141,-73.5989168350168
090010109001,co,2015,0.272087171364985,CT,41.0529333086053,-73.5697694362018
090010109002,co,2015,0.277153249066002,CT,41.0461325653798,-73.5752263387298
090010109003,co,2015,0.261625198113208,CT,41.0526841509434,-73.578784245283
090010109004,co,2015,0.265202119158878,CT,41.0465018691589,-73.5845906542056
090010110001,co,2015,0.269744242236025,CT,41.0419034782609,-73.5690017391304
090010110002,co,2015,0.274588566313666,CT,41.0306808875441,-73.563902118003
090010110003,co,2015,0.27561730848329,CT,41.0270871465296,-73.5701592544987
090010110004,co,2015,0.287044936114733,CT,41.0184460234681,-73.5678003911343
090010110005,co,2015,0.275245203225806,CT,41.0215376344086,-73.5602365591398
090010111001,co,2015,0.26571374459725,CT,41.0376688277669,-73.5785253438114
090010111002,co,2015,0.264532307177034,CT,41.0303888038278,-73.5778505263158
090010111003,co,2015,0.258982407925408,CT,41.0219088578089,-73.5833758741259
090010111004,co,2015,0.265751398907104,CT,41.0303661202186,-73.5879766393443
090010112001,co,2015,0.277760737463127,CT,41.0189121927237,-73.6165491642085
090010112002,co,2015,0.263846043296089,CT,41.0102206703911,-73.6341601955307
090010113001,co,2015,0.30497550877193,CT,40.999757518797,-73.6549818295739
090010113002,co,2015,0.309318786839666,CT,41.0045626506024,-73.6537788693234
090010113003,co,2015,0.313928582720588,CT,41.0077349264706,-73.6553047794118
090010201001,co,2015,0.346021792720543,CT,41.0577395434917,-73.5408932757557
090010201002,co,2015,0.361202643582641,CT,41.0513439519852,-73.5408551246537
090010201003,co,2015,0.34795204029304,CT,41.0521687423687,-73.5442667887668
090010202001,co,2015,0.24000495543672,CT,41.1349194890077,-73.6007213309566
090010202002,co,2015,0.240536360778443,CT,41.1155183133733,-73.5800281936128
090010203001,co,2015,0.239213281355932,CT,41.1545791864407,-73.5459945084746
090010203002,co,2015,0.241378757249379,CT,41.1535386495443,-73.5617835128418
090010203003,co,2015,0.237227718125,CT,41.151305875,-73.581751875
090010203004,co,2015,0.240466549605412,CT,41.1362725479143,-73.5736766629087
090010204001,co,2015,0.242106299454297,CT,41.1242642564802,-73.5370951568895
090010204002,co,2015,0.241540431132075,CT,41.1179878301887,-73.5585481603774
090010205001,co,2015,0.25904109244373,CT,41.0813381832797,-73.5606659163987
