block_d,annl_ml,damagesK_2013,damagesL_2013,deathsK_2013,deathsL_2013,eMaint,dMaint,maintSavings,fuelCost,carbonCost,carbonCostLow,carbonCostHigh
83343.0,97166.404212878,1984.7383922412303,4463.046498747423,0.00022052648802680332,0.0004958940554163802,91142.08715167956,97166.404212878,6024.317061198439,66466.03716703232,14574.960631931703,4080.9889769408765,21862.44094789755
83342.0,93794.43655330842,1945.0163927760705,4373.72388828452,0.0002161129325306745,0.00048596932092050214,87979.1814870033,93794.43655330842,5815.255066305122,64159.46495616854,14069.165482996264,3939.366335238954,21103.748224494397
83347.0,79331.8247070076,1738.3142513382895,3908.9168300503798,0.00019314602792647658,0.00043432409222782004,74413.25157517313,79331.8247070076,4918.573131834477,54266.410826033396,11899.77370605114,3331.9366376943194,17849.66055907671
83348.0,19641.5691241952,430.3847644674017,967.7990623278224,4.782052938526685e-05,0.0001075332291475358,18423.791838495097,19641.5691241952,1217.7772857001037,13435.685657024324,2946.2353686292804,824.9459032161984,4419.35305294392
83349.0,16135.522527342398,353.56059459587306,795.0454811350529,3.9284510510652556e-05,8.833838679278367e-05,15135.120130647168,16135.522527342398,1000.40239669523,11037.39763449729,2420.3283791013596,677.6919461483807,3630.4925686520396
83359.0,92491.735731486,2049.1869748323747,4607.970695372162,0.00022768744164804161,0.0005119967439302402,86757.24811613387,92491.735731486,5734.487615352133,63268.36106133801,13873.7603597229,3884.652900722412,20810.64053958435
83360.0,87892.88246564279,1961.6804380769463,4411.195730568092,0.00021796449311966068,0.0004901328589520101,82443.52375277293,87892.88246564279,5449.358712869856,60122.54585319685,13183.932369846421,3691.5010635569975,19775.89855476963
83361.0,72936.70270952521,1592.9911978895066,3582.1311227658757,0.00017699902198772295,0.0003980145691962085,68414.62714153464,72936.70270952521,4522.075567990571,49891.86985360916,10940.505406428783,3063.341513800059,16410.75810964317
83365.0,85256.2454960216,2117.173905046664,4760.851415865367,0.00023524154500518486,0.0005289834906517074,79970.35827526826,85256.2454960216,5285.887220753342,58318.97174506301,12788.436824403241,3580.7623108329076,19182.65523660486
83369.0,71997.4942293152,1942.8570072218674,4368.868352079286,0.00021587300080242968,0.0004854298168976984,67533.64958709765,71997.4942293152,4463.8446422175475,49249.41049475026,10799.62413439728,3023.8947576312385,16199.43620159592
83374.0,54522.6298750224,1418.2373417243411,3189.165384285664,0.00015758192685826013,0.00035435170936507377,51142.22682277101,54522.6298750224,3380.403052251393,37295.84492782218,8178.394481253361,2289.950454750941,12267.59172188004
83375.0,18489.503545676802,466.71031749909315,1049.483485477077,5.185670194434368e-05,0.00011660927616411966,17343.15432584484,18489.503545676802,1146.3492198319618,12647.622805661611,2773.4255318515206,776.5591489184256,4160.13829777728
83373.0,37172.819914157204,932.4250339329691,2096.727779389067,0.00010360278154810766,0.0002329697532654519,34868.10507947946,37172.819914157204,2304.7148346777467,25427.821992926158,5575.92298712358,1561.2584363946025,8363.88448068537
83380.0,25525.413392715604,491.60617644362867,1105.4653041360873,5.462290849373653e-05,0.00012282947823734304,23942.837762367235,25525.413392715604,1582.5756303483686,17460.490475155853,3828.8120089073404,1072.0673624940553,5743.21801336101
83381.0,17733.771505959598,324.8172124429996,730.410834097018,3.609080138255551e-05,8.115675934411311e-05,16634.277672590102,17733.771505959598,1099.4938333694954,12130.669294341867,2660.06572589394,744.8184032503032,3990.0985888409095
83379.0,85071.5929245,1605.3345378512229,3609.8872963675067,0.00017837050420569143,0.0004010985884852786,79797.154163181,85071.5929245,5274.438761319005,58192.661372860144,12760.738938675,3573.006902829,19141.1084080125
85203.0,4734.311895294801,144.1850319624351,324.2259514257544,1.6020559106937234e-05,3.6025105713972706e-05,4440.784557786523,4734.311895294801,293.5273375082779,3238.4747891214274,710.1467842942202,198.84109960238163,1065.22017644133
85204.0,8055.4118878688,254.62240399661118,572.5648284584839,2.8291378221845692e-05,6.361831427316489e-05,7555.9763508209335,8055.4118878688,499.4355370478661,5510.251308279664,1208.31178318032,338.3272992904896,1812.46767477048
90250.0,119505.22629048642,3824.177319967956,8599.360432878266,0.00042490859110755065,0.0009554844925420293,112095.90226047626,119505.22629048642,7409.324030010161,81746.76089562799,17925.783943572966,5019.21950420043,26888.675915359443
90253.0,118021.17511118481,3776.6875590521413,8492.570943168841,0.0004196319510057935,0.0009436189936854264,110703.86225429135,118021.17511118481,7317.312856893463,80731.60548630428,17703.17626667772,4956.889354669762,26554.764400016582
90258.0,45713.5894125456,1462.838582392153,3289.459513523174,0.00016253762026579481,0.00036549550150257484,42879.346868967776,45713.5894125456,2834.2425435778277,31270.07896964057,6857.03841188184,1919.9707553269152,10285.55761782276
90251.0,117033.8809662204,3745.0940035053773,8421.527206694258,0.0004161215559450419,0.0009357252451882508,109777.78034631473,117033.8809662204,7256.100619905672,80056.25344600204,17555.08214493306,4915.423000581257,26332.62321739959
90252.0,84421.1472297648,2701.4837987503306,6074.779117076391,0.0003001648665278145,0.0006749754574529325,79187.03610151938,84421.1472297648,5234.111128245422,57747.72829057083,12663.17208446472,3545.688183650122,18994.75812669708
90254.0,80918.1314321016,2589.3871718199325,5822.708996933236,0.00028770968575777026,0.0006469676663259153,75901.20728331129,80918.1314321016,5016.9241487903055,55351.51346621566,12137.71971481524,3398.561520148267,18206.579572222858
90256.0,17602.271009778004,563.2739818601302,1266.624620724637,6.258599798445892e-05,0.0001407360689694041,16510.930207171765,17602.271009778004,1091.3408026062389,12040.717248287552,2640.3406514667004,739.2953824106761,3960.5109772000505
