"","route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","distance","end","start","trip_duration","dwell_minutes","driving_minutes","total_dist"
"41","9948","16","1096744","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83340","114177",18.078,"14:29:00","14:00:00",1740,693,644,409.399
"42","9948","16","1096745","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83341","114177",18.078,"13:29:00","13:00:00",1740,693,644,409.399
"43","9948","16","1096746","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83340","114177",18.078,"12:29:00","12:00:00",1740,693,644,409.399
"44","9948","16","1096747","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83341","114177",18.078,"11:29:00","11:00:00",1740,693,644,409.399
"45","9948","16","1096748","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83340","114177",18.078,"10:29:00","10:00:00",1740,693,644,409.399
"46","9948","16","1096749","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83341","114177",18.078,"9:29:00","9:00:00",1740,693,644,409.399
"47","9948","16","1096750","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83340","114177",18.078,"8:29:00","8:00:00",1740,693,644,409.399
"48","9948","16","1096751","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83341","114179",15.4213,"17:53:00","17:30:00",1380,693,644,409.399
"49","9948","16","1096752","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83340","114179",15.4213,"14:53:00","14:30:00",1380,693,644,409.399
"50","9948","16","1096753","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83341","114179",15.4213,"11:53:00","11:30:00",1380,693,644,409.399
"51","9948","16","1096754","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83341","114179",15.4213,"9:53:00","9:30:00",1380,693,644,409.399
"52","9948","16","1096755","501 Arch St-Downtown New Britain-Dwntwn NB Sta",1,"83341","114180",3.7323,"7:53:00","7:43:00",600,693,644,409.399
"53","9948","16","1096756","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83341","114179",15.4213,"19:53:00","19:30:00",1380,693,644,409.399
"54","9948","16","1096757","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83340","114179",15.4213,"18:53:00","18:30:00",1380,693,644,409.399
"55","9948","16","1096758","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83340","114179",15.4213,"16:53:00","16:30:00",1380,693,644,409.399
"56","9948","16","1096759","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83341","114179",15.4213,"15:53:00","15:30:00",1380,693,644,409.399
"57","9948","16","1096760","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83341","114179",15.4213,"13:53:00","13:30:00",1380,693,644,409.399
"58","9948","16","1096761","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83340","114179",15.4213,"12:53:00","12:30:00",1380,693,644,409.399
"59","9948","16","1096762","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83340","114179",15.4213,"10:53:00","10:30:00",1380,693,644,409.399
