GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US090034663001,090034663001,"Block Group 1, Census Tract 4663, Hartford County, Connecticut",1192,348,1000,190,12,16,0,12,42,49,0,12,136,279,2,4,0,12,2,4
1500000US090034663002,090034663002,"Block Group 2, Census Tract 4663, Hartford County, Connecticut",629,177,593,183,20,22,0,12,12,19,0,12,4,4,0,12,0,12,0,12
1500000US090034663003,090034663003,"Block Group 3, Census Tract 4663, Hartford County, Connecticut",1075,281,875,216,10,15,125,168,65,70,0,12,0,12,0,12,0,12,0,12
1500000US090034663004,090034663004,"Block Group 4, Census Tract 4663, Hartford County, Connecticut",938,163,882,157,0,12,0,12,31,49,0,12,5,9,20,32,0,12,20,32
1500000US090034663005,090034663005,"Block Group 5, Census Tract 4663, Hartford County, Connecticut",1031,128,969,123,39,51,0,12,8,12,0,12,0,12,15,24,0,12,15,24
1500000US090034664001,090034664001,"Block Group 1, Census Tract 4664, Hartford County, Connecticut",1257,206,1201,207,0,12,0,12,44,55,0,12,0,12,12,19,0,12,12,19
1500000US090034664002,090034664002,"Block Group 2, Census Tract 4664, Hartford County, Connecticut",1226,187,992,178,79,69,0,12,70,86,0,12,64,102,21,33,0,12,21,33
1500000US090034681011,090034681011,"Block Group 1, Census Tract 4681.01, Hartford County, Connecticut",1160,263,1160,263,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US090034681012,090034681012,"Block Group 2, Census Tract 4681.01, Hartford County, Connecticut",1522,360,1520,359,2,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US090034681013,090034681013,"Block Group 3, Census Tract 4681.01, Hartford County, Connecticut",2146,388,2049,359,20,33,0,12,5,12,0,12,0,12,72,81,0,12,72,81
1500000US090034681014,090034681014,"Block Group 4, Census Tract 4681.01, Hartford County, Connecticut",1195,293,1149,296,0,12,0,12,0,12,0,12,21,34,25,39,0,12,25,39
1500000US090034681015,090034681015,"Block Group 5, Census Tract 4681.01, Hartford County, Connecticut",1104,320,1104,320,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US090034681021,090034681021,"Block Group 1, Census Tract 4681.02, Hartford County, Connecticut",1561,246,1373,223,20,27,0,12,70,102,0,12,55,94,43,60,0,12,43,60
1500000US090034681022,090034681022,"Block Group 2, Census Tract 4681.02, Hartford County, Connecticut",900,162,845,158,8,13,0,12,19,20,0,12,0,12,28,42,0,12,28,42
1500000US090034681023,090034681023,"Block Group 3, Census Tract 4681.02, Hartford County, Connecticut",1735,221,1643,217,1,5,0,12,70,59,0,12,2,4,19,25,0,12,19,25
1500000US090034701001,090034701001,"Block Group 1, Census Tract 4701, Hartford County, Connecticut",1797,306,1625,330,0,12,0,12,63,76,0,12,42,72,67,79,0,12,67,79
1500000US090034701002,090034701002,"Block Group 2, Census Tract 4701, Hartford County, Connecticut",667,220,499,186,0,12,37,59,14,21,0,12,0,12,117,92,0,12,117,92
1500000US090034701003,090034701003,"Block Group 3, Census Tract 4701, Hartford County, Connecticut",1278,293,1213,283,13,21,0,12,52,82,0,12,0,12,0,12,0,12,0,12
1500000US090034701004,090034701004,"Block Group 4, Census Tract 4701, Hartford County, Connecticut",1478,279,1281,250,97,140,0,12,12,18,0,12,0,12,88,96,0,12,88,96
1500000US090034711001,090034711001,"Block Group 1, Census Tract 4711, Hartford County, Connecticut",2004,513,291,152,1469,430,0,12,0,12,0,12,71,96,173,146,58,77,115,126
1500000US090034711002,090034711002,"Block Group 2, Census Tract 4711, Hartford County, Connecticut",579,250,126,98,413,191,0,12,0,12,0,12,0,12,40,65,0,12,40,65
1500000US090034711003,090034711003,"Block Group 3, Census Tract 4711, Hartford County, Connecticut",1631,493,16,25,1581,502,0,12,0,12,0,12,0,12,34,56,0,12,34,56
1500000US090034712001,090034712001,"Block Group 1, Census Tract 4712, Hartford County, Connecticut",1415,330,214,107,1081,302,7,14,53,44,0,12,54,56,6,14,0,12,6,14
1500000US090034712002,090034712002,"Block Group 2, Census Tract 4712, Hartford County, Connecticut",1736,377,523,289,1200,429,0,12,0,12,0,12,0,12,13,17,0,12,13,17
1500000US090034713001,090034713001,"Block Group 1, Census Tract 4713, Hartford County, Connecticut",1062,448,140,72,735,333,0,12,10,17,0,12,1,2,176,196,0,12,176,196
1500000US090034713002,090034713002,"Block Group 2, Census Tract 4713, Hartford County, Connecticut",946,258,621,210,285,188,0,12,30,49,0,12,0,12,10,18,0,12,10,18
1500000US090034713003,090034713003,"Block Group 3, Census Tract 4713, Hartford County, Connecticut",1811,373,810,233,886,330,0,12,70,66,0,12,0,12,45,68,45,68,0,12
1500000US090034713004,090034713004,"Block Group 4, Census Tract 4713, Hartford County, Connecticut",669,347,54,36,615,345,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US090034714001,090034714001,"Block Group 1, Census Tract 4714, Hartford County, Connecticut",2688,504,1287,290,1185,328,0,12,20,50,0,12,0,12,196,130,0,12,196,130
1500000US090034714002,090034714002,"Block Group 2, Census Tract 4714, Hartford County, Connecticut",573,235,361,152,189,171,0,12,0,12,0,12,23,30,0,12,0,12,0,12
1500000US090034714003,090034714003,"Block Group 3, Census Tract 4714, Hartford County, Connecticut",2133,377,1610,255,407,238,0,12,58,57,0,12,1,2,57,66,0,12,57,66
1500000US090034715001,090034715001,"Block Group 1, Census Tract 4715, Hartford County, Connecticut",1404,265,186,79,1184,264,6,9,0,12,0,12,0,12,28,42,0,12,28,42
1500000US090034715002,090034715002,"Block Group 2, Census Tract 4715, Hartford County, Connecticut",2197,293,777,169,1218,318,9,14,93,71,0,12,3,4,97,96,1,2,96,96
1500000US090034731001,090034731001,"Block Group 1, Census Tract 4731, Hartford County, Connecticut",1268,459,257,197,1011,451,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US090034731002,090034731002,"Block Group 2, Census Tract 4731, Hartford County, Connecticut",2165,715,876,426,1216,624,0,12,0,12,0,12,73,119,0,12,0,12,0,12
1500000US090034731003,090034731003,"Block Group 3, Census Tract 4731, Hartford County, Connecticut",1026,432,257,141,411,322,0,12,22,35,0,12,312,255,24,43,24,43,0,12
1500000US090034731004,090034731004,"Block Group 4, Census Tract 4731, Hartford County, Connecticut",1361,421,1076,339,285,224,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US090034731005,090034731005,"Block Group 5, Census Tract 4731, Hartford County, Connecticut",953,422,257,128,656,459,19,43,21,34,0,12,0,12,0,12,0,12,0,12
1500000US090034734001,090034734001,"Block Group 1, Census Tract 4734, Hartford County, Connecticut",720,130,525,133,142,72,10,16,22,25,0,12,0,12,21,22,16,21,5,7
1500000US090034734002,090034734002,"Block Group 2, Census Tract 4734, Hartford County, Connecticut",945,149,655,120,149,109,0,12,11,11,0,12,64,73,66,58,16,15,50,54
1500000US090034735011,090034735011,"Block Group 1, Census Tract 4735.01, Hartford County, Connecticut",2546,273,1906,249,376,188,0,12,183,98,0,12,31,27,50,51,38,42,12,18
1500000US090034735012,090034735012,"Block Group 2, Census Tract 4735.01, Hartford County, Connecticut",757,234,460,138,161,149,0,12,0,12,0,12,0,12,136,155,0,12,136,155
1500000US090034735013,090034735013,"Block Group 3, Census Tract 4735.01, Hartford County, Connecticut",903,181,682,156,169,125,0,12,15,21,0,12,1,4,36,52,0,12,36,52
1500000US090034735021,090034735021,"Block Group 1, Census Tract 4735.02, Hartford County, Connecticut",1588,276,1212,261,320,147,0,12,28,43,0,12,1,2,27,26,0,12,27,26
1500000US090034735022,090034735022,"Block Group 2, Census Tract 4735.02, Hartford County, Connecticut",726,172,565,131,21,22,0,12,111,112,0,12,0,12,29,35,0,12,29,35
1500000US090034735023,090034735023,"Block Group 3, Census Tract 4735.02, Hartford County, Connecticut",807,223,303,109,335,186,0,12,114,125,0,12,33,50,22,28,11,20,11,19
1500000US090034736011,090034736011,"Block Group 1, Census Tract 4736.01, Hartford County, Connecticut",526,137,510,138,4,10,0,12,12,20,0,12,0,12,0,12,0,12,0,12
1500000US090034736012,090034736012,"Block Group 2, Census Tract 4736.01, Hartford County, Connecticut",1495,262,1131,289,137,129,0,12,78,113,0,12,32,41,117,122,0,12,117,122
1500000US090034736013,090034736013,"Block Group 3, Census Tract 4736.01, Hartford County, Connecticut",1083,255,870,276,162,133,0,12,12,19,0,12,39,57,0,12,0,12,0,12
1500000US090034736021,090034736021,"Block Group 1, Census Tract 4736.02, Hartford County, Connecticut",1046,264,431,112,188,201,0,12,364,163,0,12,50,55,13,22,0,12,13,22
1500000US090034736022,090034736022,"Block Group 2, Census Tract 4736.02, Hartford County, Connecticut",1554,224,827,149,506,189,0,12,93,74,0,12,32,43,96,82,7,10,89,81
1500000US090034737001,090034737001,"Block Group 1, Census Tract 4737, Hartford County, Connecticut",952,530,420,160,402,523,0,12,130,146,0,12,0,12,0,12,0,12,0,12
1500000US090034737002,090034737002,"Block Group 2, Census Tract 4737, Hartford County, Connecticut",816,343,421,267,362,279,0,12,0,12,0,12,0,12,33,47,0,12,33,47
1500000US090034737003,090034737003,"Block Group 3, Census Tract 4737, Hartford County, Connecticut",598,250,123,102,475,253,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US090034737004,090034737004,"Block Group 4, Census Tract 4737, Hartford County, Connecticut",415,189,270,124,129,190,0,12,16,27,0,12,0,12,0,12,0,12,0,12
1500000US090034737005,090034737005,"Block Group 5, Census Tract 4737, Hartford County, Connecticut",1421,592,289,218,1064,539,0,12,0,12,0,12,1,3,67,94,0,12,67,94
1500000US090034737006,090034737006,"Block Group 6, Census Tract 4737, Hartford County, Connecticut",1024,362,490,297,459,274,0,12,21,38,0,12,53,73,1,5,0,12,1,5
1500000US090034737007,090034737007,"Block Group 7, Census Tract 4737, Hartford County, Connecticut",561,290,186,124,165,176,0,12,0,12,0,12,210,264,0,12,0,12,0,12
1500000US090034738001,090034738001,"Block Group 1, Census Tract 4738, Hartford County, Connecticut",1318,229,231,100,847,233,0,12,163,90,17,27,44,49,16,28,0,12,16,28
